CD14,CD15,CD19,CD4,CD8,IL,PLA,RE,TR,V1
8,3,14,8,12,14,9,12,8,ACSS1
11,14,8,8,8,11,12,11,2,ACSS2
11,14,8,8,8,11,12,11,2,ACSS2
12,12,3,8,12,7,9,11,11,ACTA2
2,11,2,11,2,2,2,11,2,ACTB
2,11,2,11,2,2,2,11,2,ACTB
2,11,2,11,2,2,2,11,2,ACTB
2,11,2,11,2,2,2,11,2,ACTG1
11,14,11,11,11,7,11,14,11,ACTG1
12,8,12,14,14,12,-1,12,12,ACTL6A
14,11,6,14,14,14,2,14,14,ACTN1
12,14,8,8,12,15,9,14,11,ACTN4
12,12,12,14,12,12,11,12,12,ACTR10
14,14,14,14,14,15,12,14,14,ACTR1A
8,3,8,8,12,12,-1,8,8,ACTR1B
2,11,11,11,11,11,11,11,11,ACTR2
11,14,11,11,11,14,12,14,14,ACTR3
13,-1,9,3,3,9,-1,9,9,ACTR5
8,3,12,14,14,8,-1,8,8,ACTR6
13,9,9,3,13,9,-1,13,13,ACTR8
14,9,8,14,12,12,11,8,8,ACVR1
12,8,3,8,8,15,-1,14,14,ACVR1B
9,-1,-1,9,-1,3,-1,13,13,ACVR2A
13,-1,-1,3,13,12,-1,3,7,ACVR2A
13,9,3,3,3,3,9,3,3,ACYP1
13,-1,8,8,8,3,14,3,7,ACYP1
9,9,9,9,9,9,9,9,9,ACYP2
8,-1,8,8,8,3,-1,13,13,ACYP2
8,-1,9,14,12,13,-1,9,15,ADA
13,9,9,9,13,9,-1,9,9,ADAL
8,8,3,3,3,3,-1,3,3,ADAM10
12,12,8,8,8,8,9,8,8,ADAM10
9,9,9,9,9,9,9,9,-1,ADAM12
8,-1,-1,9,9,3,-1,8,7,ADAM15
11,8,12,8,12,15,9,11,11,ADAM15
9,-1,-1,-1,-1,-1,-1,-1,-1,ADAM15
12,12,12,8,8,8,14,8,7,ADAM17
9,9,9,-1,-1,-1,-1,-1,-1,ADAM17
14,11,11,14,12,6,9,6,6,ADAM19
9,9,9,9,9,9,9,9,9,ADAM2
12,11,8,8,8,13,9,9,-1,ADAM8
9,9,-1,-1,-1,9,-1,9,9,ADAM9
9,-1,-1,-1,-1,7,-1,14,6,ADAMDEC1
15,-1,9,9,9,9,9,9,9,ADAMTS4
9,-1,-1,-1,-1,9,-1,9,9,ADAMTSL3
13,3,-1,9,-1,9,-1,9,9,ADAMTSL4
13,9,-1,-1,-1,-1,-1,-1,-1,ADAMTSL4
8,8,-1,-1,9,8,-1,8,8,ADAP1
14,-1,3,9,9,3,-1,13,3,ADAP2
11,11,11,11,11,11,12,14,11,ADAR
14,11,14,14,14,14,14,12,12,ADAR
3,-1,14,14,14,6,-1,6,13,ADARB1
3,8,8,8,8,3,9,3,3,ADAT1
13,-1,9,9,9,3,-1,3,7,ADAT3
13,-1,9,9,9,9,-1,13,13,ADCK1
12,-1,12,14,12,8,-1,12,12,ADCK2
13,3,9,9,9,9,-1,9,9,ADCK4
15,-1,12,14,12,14,11,12,6,ADCY3
12,12,8,8,12,3,14,3,3,ADCY7
9,-1,-1,-1,9,8,-1,3,3,ADCY9
8,8,12,8,8,8,9,8,7,ADD1
11,11,2,11,11,11,11,11,11,ADD1
12,14,11,11,15,14,12,12,12,ADD3
11,11,11,11,11,7,11,14,11,ADD3
12,12,12,14,14,12,12,8,8,ADD3
13,9,3,3,3,3,-1,3,3,ADH5
9,-1,-1,9,9,9,9,9,9,ADHFE1
9,-1,-1,9,9,9,-1,9,9,ADHFE1
8,3,3,3,6,12,14,8,7,ADI1
9,9,9,-1,-1,-1,-1,-1,-1,ADIPOQ
14,14,12,14,12,12,2,12,12,ADIPOR1
14,11,14,14,14,14,2,14,14,ADIPOR1
12,12,12,8,12,15,12,14,14,ADIPOR2
12,3,14,8,12,8,-1,8,8,ADK
12,11,9,9,9,12,14,11,14,ADM
12,12,12,14,12,12,-1,8,8,ADNP
9,3,9,9,9,9,-1,-1,9,ADNP
8,8,8,14,12,8,-1,8,8,ADNP2
12,9,8,8,8,8,-1,8,8,ADO
13,3,9,9,9,3,14,13,3,ADORA1
13,-1,-1,-1,-1,13,14,8,14,ADORA2B
13,9,-1,-1,-1,-1,-1,9,9,TMIGD3
9,-1,-1,-1,-1,9,-1,9,9,ADORA3
14,14,12,8,12,8,9,8,8,ADPGK
8,-1,8,9,9,13,-1,9,15,ADPRH
8,12,8,8,8,8,-1,8,8,ADPRHL2
9,9,9,9,9,3,12,13,8,ADRA2A
9,9,9,9,9,9,14,9,9,ADRA2B
12,12,12,3,14,3,9,13,13,ADRB2
11,11,11,11,11,15,12,14,14,GRK2
9,-1,3,-1,-1,-1,9,-1,-1,GRK3
8,8,8,8,8,8,-1,8,8,ADRM1
14,14,14,14,14,14,14,14,14,ADRM1
14,8,11,11,15,14,14,14,14,ADSL
14,12,14,14,15,14,9,12,12,ADSS
12,8,8,8,12,8,-1,8,8,ADSS
9,-1,-1,9,-1,9,-1,9,15,ADSSL1
9,9,9,9,9,9,-1,9,9,ADSSL1
13,3,3,3,3,3,9,3,3,AEBP2
3,9,3,3,3,3,14,13,13,AEN
14,3,11,11,11,15,11,14,11,AES
15,-1,8,8,12,3,-1,6,3,AES
6,6,9,3,3,8,11,12,8,AFAP1
9,3,9,9,9,9,-1,9,9,AFF1
3,8,3,3,3,8,9,3,7,AFF1
9,-1,14,9,-1,13,-1,9,15,AFF3
3,8,8,8,8,8,-1,8,8,AFF4
9,3,3,3,13,3,-1,9,9,AFG3L1P
12,9,14,14,14,7,-1,14,11,AFG3L2
13,-1,9,-1,-1,9,-1,13,13,AFMID
14,14,14,14,14,14,12,14,14,AFTPH
9,3,8,3,13,3,-1,3,7,AFTPH
8,12,12,8,8,8,-1,8,8,AFTPH
8,-1,8,8,8,3,-1,3,3,AGA
3,-1,9,9,9,3,-1,3,3,AGAP3
9,-1,9,3,13,3,12,3,3,AGBL5
3,3,3,3,13,3,-1,9,9,AGFG1
12,8,8,8,8,8,-1,3,3,AGFG1
9,9,9,3,3,3,-1,3,7,AGFG2
12,8,8,8,12,12,-1,8,8,AGGF1
13,9,9,3,13,9,-1,9,13,AGGF1
3,-1,8,8,12,3,-1,3,3,AGK
8,8,12,14,14,14,-1,12,14,AGL
13,9,3,3,8,3,-1,3,7,AGL
3,8,3,3,3,8,11,3,7,AGPAT1
8,8,3,9,13,14,-1,12,12,AGPAT2
13,3,9,-1,9,8,-1,3,7,AGPAT2
9,-1,-1,-1,-1,9,-1,-1,-1,AGPAT3
9,-1,-1,-1,-1,13,-1,-1,-1,AGPAT3
13,-1,8,3,3,9,-1,13,7,AGPAT5
13,9,9,9,9,9,-1,9,9,GPAT4
14,14,9,3,3,7,-1,14,14,GPAT3
12,3,3,8,8,8,-1,8,8,AGPS
13,3,3,3,13,8,14,8,7,AGRN
9,-1,-1,-1,-1,-1,-1,-1,-1,AGRP
15,8,9,9,6,-1,-1,-1,-1,AGTPBP1
14,11,12,14,14,3,14,3,7,AGTPBP1
14,12,9,3,3,13,-1,9,15,AGTRAP
3,8,8,3,3,8,9,8,8,PHYKPL
