CD14,CD15,CD19,CD4,CD8,IL,PLA,RE,TR,V1
13,9,9,9,9,15,9,14,14,DLEU2
3,9,-1,-1,-1,-1,-1,-1,-1,DLEU7
3,9,-1,-1,-1,-1,-1,-1,-1,DLEU7
9,-1,9,9,9,9,-1,13,13,DLG1
3,3,3,3,3,3,-1,13,13,DLGAP4
9,9,9,9,9,9,9,13,13,DLK2
3,3,8,8,8,8,9,8,8,DLST
8,3,12,8,12,12,9,12,12,DMAP1
7,11,11,11,11,11,12,14,14,DMC1
3,12,8,8,8,8,-1,3,3,DMTF1
3,8,8,8,8,8,9,3,7,DMTF1
3,9,8,9,6,9,-1,9,9,DMXL1
8,12,-1,9,9,3,-1,13,13,DMXL2
9,8,9,9,9,3,9,9,9,DNAH1
11,11,11,11,15,7,14,11,11,DNAJA1
11,14,14,11,15,15,14,14,11,DNAJA2
12,3,14,14,14,14,9,14,14,DNAJA3
3,-1,3,8,8,12,9,12,14,DNAJA4
12,12,12,14,15,12,-1,14,14,DNAJB1
14,12,14,14,14,15,12,14,14,DNAJB11
13,3,9,9,9,9,-1,9,9,DNAJB12
3,8,3,3,13,3,-1,3,7,DNAJB12
3,8,3,9,13,3,-1,3,7,DNAJB12
3,3,3,9,13,3,-1,13,3,DNAJB12
13,3,9,3,13,9,-1,13,13,DNAJB14
3,8,8,8,8,8,-1,3,7,DNAJB14
8,12,12,8,12,12,9,8,12,DNAJB14
8,12,14,14,14,14,11,14,14,DNAJB2
9,-1,9,9,9,9,-1,13,13,DNAJB4
9,9,-1,-1,-1,9,-1,9,9,DNAJB5
12,14,12,14,14,8,11,8,8,DNAJB6
14,14,12,14,14,14,11,12,14,DNAJB6
8,8,12,8,12,12,-1,8,8,DNAJB9
3,9,9,3,3,3,-1,3,3,DNAJC1
8,-1,8,3,3,3,-1,13,13,DNAJC10
14,3,14,8,12,12,9,8,8,DNAJC10
8,8,8,8,8,8,9,8,8,DNAJC13
8,8,8,8,8,8,-1,3,7,DNAJC14
12,-1,14,14,12,14,12,12,12,DNAJC15
8,3,8,8,8,8,9,8,8,DNAJC17
9,-1,9,9,13,9,-1,9,9,DNAJC18
13,-1,9,3,3,9,-1,9,13,DNAJC19
9,-1,-1,-1,9,-1,-1,-1,-1,DNAJC2
13,-1,9,3,13,3,-1,3,3,DNAJC21
13,-1,3,3,3,9,-1,9,9,DNAJC24
9,3,9,9,9,3,-1,13,7,DNAJC25
3,14,9,9,9,9,-1,9,9,DNAJC25-GNG10
13,12,9,9,9,9,-1,13,13,DNAJC3
9,-1,3,3,13,9,-1,9,15,DNAJC30
8,3,8,3,3,8,14,3,3,DNAJC4
3,8,9,9,13,9,-1,13,3,DNAJC5
12,8,12,8,12,12,14,12,12,DNAJC7
11,14,11,11,11,7,11,14,11,DNAJC8
3,3,14,14,14,12,12,12,12,DNAJC9
9,-1,-1,9,9,9,-1,9,13,DNAL1
12,12,12,8,12,12,14,12,12,DNAL4
12,8,8,8,12,6,9,8,8,DNASE2
2,12,11,11,11,11,2,11,2,DYNLL1
12,3,14,14,14,8,-1,8,8,DNLZ
3,-1,9,3,13,3,12,3,3,DNM1L
8,-1,3,3,3,3,12,3,7,DNM1L
13,8,3,3,13,3,-1,8,8,DNM2
3,12,3,3,3,8,-1,12,12,DNM2
9,-1,9,9,9,-1,11,-1,-1,DNM3
14,-1,14,11,11,14,12,14,12,DNMT1
9,-1,-1,3,3,-1,-1,-1,-1,DNMT3A
8,-1,8,8,8,12,-1,8,8,DNPEP
14,14,8,8,8,8,9,8,8,DNTTIP1
6,9,9,9,6,-1,-1,-1,-1,DNTTIP2
14,9,14,11,15,6,14,6,7,DOCK10
11,11,11,11,11,6,14,6,6,DOCK2
9,9,9,9,9,-1,-1,-1,-1,DOCK3
9,8,-1,-1,-1,9,-1,9,9,DOCK5
3,-1,3,3,13,8,-1,8,8,DOCK7
11,11,14,14,15,6,14,6,13,DOCK8
13,-1,3,9,13,3,-1,13,13,DOHH
14,-1,9,8,12,13,11,9,15,DOK2
13,3,-1,-1,-1,-1,-1,-1,-1,DOK3
13,-1,9,3,13,3,-1,3,3,DOLK
3,-1,9,3,3,14,-1,12,12,DOLPP1
9,9,9,9,9,9,-1,9,9,DXO
9,-1,-1,9,9,9,-1,9,9,DOPEY1
3,3,8,9,13,3,-1,3,3,DOPEY2
12,14,11,14,14,15,14,14,14,DOPEY2
9,-1,9,9,9,9,-1,9,9,DOT1L
9,-1,9,9,9,9,-1,9,9,DPAGT1
12,9,12,8,12,14,-1,12,12,DPAGT1
9,9,-1,-1,-1,-1,9,-1,-1,DPCR1
14,11,12,8,8,9,9,9,9,DPEP2
14,14,14,14,14,12,14,8,8,DPF2
8,-1,12,8,12,8,-1,8,7,DPH2
8,12,3,3,3,12,-1,3,7,DPH3
8,12,8,3,8,12,-1,8,8,DPH3
9,3,9,9,9,9,-1,9,9,DPH3
3,-1,14,14,14,3,-1,3,3,DPH5
8,9,12,14,14,3,-1,3,3,DPH5
14,14,12,14,14,14,-1,12,12,DPM1
13,-1,9,9,13,9,9,13,13,DPM2
12,3,12,8,12,12,9,12,12,DPM3
12,3,12,14,12,12,9,12,12,DPM3
3,-1,9,3,13,3,-1,8,8,DPP3
3,-1,3,3,3,3,9,8,8,DPP3
9,9,9,14,12,11,9,8,7,DPP4
3,9,3,3,3,3,9,13,13,DPP7
3,-1,3,3,3,3,-1,13,9,DPP7
12,-1,12,14,14,12,14,12,7,DPP7
12,12,8,8,12,8,9,8,8,DPP8
12,12,8,8,12,8,9,8,8,DPP8
13,3,3,3,3,8,-1,3,7,DPP9
9,9,-1,9,9,9,-1,9,9,DPPA3
12,3,8,8,12,8,12,8,8,DPY19L1
9,-1,-1,9,9,-1,-1,-1,-1,DPY30
14,14,14,14,15,14,9,14,14,DPY30
11,12,3,8,12,8,12,13,13,DPYD
2,-1,14,11,15,15,14,14,14,DPYSL2
12,12,12,14,14,3,12,3,3,DR1
12,12,3,9,13,6,9,3,3,DRAM1
11,14,11,11,11,15,12,14,14,DRAP1
12,3,12,14,14,12,-1,8,8,DRG1
3,9,3,3,3,3,9,3,7,DRG2
8,14,-1,9,9,7,9,14,11,DSC2
13,8,-1,-1,-1,12,-1,12,14,DSC2
9,9,9,9,9,9,9,9,9,DSC3
9,9,9,9,9,9,9,9,9,DSC3
9,9,9,9,9,9,9,9,9,DSCAM
9,9,9,9,9,9,9,9,9,DSCAM
9,9,3,9,9,9,9,13,13,DSCC1
9,9,9,9,9,9,9,9,9,DSCR10
9,-1,-1,-1,-1,-1,-1,-1,-1,RCAN2
14,12,12,14,14,14,14,12,14,DSCR3
14,12,12,3,6,6,11,13,9,DSE
9,3,3,3,13,3,-1,13,3,DSN1
14,8,8,14,15,7,12,11,11,DSTN
9,9,-1,9,9,9,-1,9,13,DSTN
12,8,12,14,15,15,12,11,11,DSTN
13,3,9,9,13,9,-1,9,9,DSTYK
13,3,3,3,3,3,-1,13,13,DSTYK
8,8,12,8,12,8,9,8,8,DTD1
9,-1,-1,-1,-1,-1,-1,-1,-1,DTNA
13,9,3,9,13,13,-1,9,15,DTNBP1
13,9,3,9,13,9,-1,9,9,DTNBP1
3,-1,3,3,3,3,-1,13,3,DTWD1
7,11,11,14,15,11,12,14,14,DTWD2
12,14,12,8,12,14,-1,14,14,DTX2
9,3,-1,-1,-1,-1,-1,-1,9,DTX2
13,-1,9,3,13,9,-1,13,13,DUS1L
8,8,14,3,3,3,-1,3,7,DUS2
3,-1,3,3,3,3,-1,13,13,DUS3L
3,-1,3,3,3,3,-1,13,13,DUS4L
2,11,2,11,11,6,11,11,14,DUSP1
9,-1,-1,-1,-1,-1,-1,-1,-1,DUSP10
3,-1,9,9,13,9,-1,9,9,DUSP10
3,-1,9,3,13,9,-1,9,9,DUSP10
12,12,12,14,14,12,-1,12,12,DUSP11
3,3,3,3,6,13,-1,9,15,DUSP11
12,8,14,14,14,8,-1,8,8,DUSP12
9,9,9,9,9,9,9,9,9,DUSP15
9,8,9,8,3,8,9,8,8,DUSP16
8,12,8,8,8,3,-1,3,3,DUSP18
3,3,8,3,14,3,9,13,13,DUSP2
3,3,8,3,13,9,14,9,9,DUSP22
14,12,14,8,12,8,11,8,7,DUSP22
11,14,11,11,15,15,2,14,14,DUSP22
14,12,12,14,14,15,14,14,14,DUSP23
8,3,12,8,12,8,12,3,7,DUSP28
11,12,12,8,12,11,11,11,11,DUSP3
8,8,8,8,8,15,9,12,12,DUSP5
2,11,12,8,8,14,14,14,14,DUSP6
8,8,-1,-1,-1,-1,-1,9,15,DUSP6
9,-1,-1,-1,-1,-1,-1,-1,-1,DUSP7
9,-1,9,3,13,-1,-1,-1,-1,DUT
13,-1,8,8,8,3,-1,3,3,DUT
9,-1,9,3,13,13,-1,13,13,DUT
9,9,9,9,9,9,-1,9,9,DVL1
13,9,3,3,3,9,-1,9,9,DVL2
8,8,3,3,3,3,-1,3,3,DVL3
12,3,8,8,8,8,9,3,7,DYM
12,8,12,14,14,14,9,14,14,DYNC1H1
14,9,12,14,14,14,9,14,14,DYNC1I2
13,3,-1,9,9,-1,-1,-1,-1,DYNC1LI1
12,14,12,8,12,7,9,11,11,DYNC1LI2
9,9,9,9,13,9,-1,9,9,DYNC2H1
13,-1,9,9,13,3,-1,3,7,DYNC2LI1
11,8,11,14,15,7,2,11,11,DYNLL1
8,8,8,8,12,8,14,8,7,DYNLL2
14,12,14,14,14,14,11,14,14,DYNLRB1
12,8,12,14,14,14,11,12,12,DYNLRB1
9,9,-1,9,9,9,9,9,9,DYNLRB1
12,12,12,14,14,12,11,12,12,DYNLRB1
11,14,8,14,12,15,11,14,11,DYNLT1
14,14,14,14,15,14,12,12,12,DYRK1A
3,8,8,8,8,3,9,13,3,DYRK1A
12,14,14,14,14,12,12,12,12,DYRK1A
9,3,9,9,9,9,-1,9,9,DYRK1B
9,9,9,9,9,-1,-1,-1,-1,DYRK1B
3,9,12,14,14,7,-1,14,14,DYRK2
8,3,12,14,14,14,9,12,14,DYRK2
13,-1,3,3,8,12,-1,8,8,DYRK2
8,-1,12,8,12,8,-1,8,3,DYRK4
14,11,-1,-1,13,13,9,9,15,DYSF
9,9,9,9,9,9,9,9,9,DZIP1L
13,-1,3,3,3,9,-1,9,9,E2F1
12,3,12,8,8,12,12,12,14,E2F2
12,14,8,8,14,8,12,8,8,E2F3
14,12,14,14,14,12,14,12,12,E2F4
9,-1,14,9,3,3,-1,3,3,E2F5
3,9,3,3,3,3,9,3,3,E2F6
8,12,8,8,12,8,-1,8,8,E4F1
8,8,8,8,12,8,9,8,8,EAF1
8,3,14,3,3,3,9,13,13,EAF2
14,14,14,14,14,14,12,14,14,EAPP
13,-1,9,3,13,3,-1,3,3,EARS2
12,3,14,14,14,14,-1,12,12,EBAG9
9,-1,-1,-1,-1,-1,-1,-1,9,EBF2
15,-1,14,11,14,6,-1,6,9,GPR183
7,-1,11,11,15,6,9,6,13,GPR183
14,9,14,14,14,14,-1,14,14,EBNA1BP2
8,8,12,14,12,8,-1,12,8,EBPL
13,3,3,3,3,9,-1,13,13,ECD
8,8,8,8,8,8,-1,3,7,ECD
13,-1,9,9,9,-1,-1,9,9,ECE2
2,11,14,14,14,11,11,14,11,TYMP
15,6,-1,-1,-1,-1,-1,-1,-1,TYMP
14,3,14,14,15,15,9,11,11,ECH1
8,3,3,3,3,3,-1,3,3,ECHDC1
14,8,12,8,12,8,-1,8,8,ECHDC1
15,-1,12,14,14,11,-1,11,11,ECHDC2
8,6,-1,-1,-1,13,-1,9,9,ECHDC3
14,-1,14,14,14,11,-1,14,11,ECHS1
9,3,-1,-1,-1,9,-1,13,13,ECM1
3,8,8,8,8,3,9,3,7,VOPP1
13,-1,9,9,13,9,-1,13,13,ECSIT
3,3,9,9,13,3,-1,3,7,ECT2
9,9,9,9,9,9,9,9,9,ECT2L
9,3,3,3,3,3,14,13,13,EDARADD
9,-1,9,3,3,9,-1,9,9,EDC3
12,12,12,14,14,14,9,12,12,EDC4
8,8,14,14,12,8,-1,8,8,EDEM1
14,12,12,8,12,12,-1,12,12,EDEM2
12,12,3,8,8,12,9,12,8,EDEM3
14,8,14,11,15,7,14,14,11,EDF1
11,12,11,11,11,11,14,11,11,EDF1
13,9,14,14,15,3,-1,13,13,S1PR1
13,11,3,8,8,8,-1,8,7,LPAR2
9,-1,3,3,6,9,-1,9,9,EED
2,11,2,11,2,2,2,11,2,EEF1A1
14,3,14,14,15,12,-1,12,12,EEF1A1
2,11,2,11,2,2,2,11,2,EEF1A1
2,11,2,11,2,2,2,11,2,EEF1A1
13,-1,-1,-1,-1,9,-1,13,3,EEF1B2
2,12,2,11,2,2,12,11,2,EEF1B2
13,-1,9,9,13,9,-1,3,3,EEF1B2
2,8,2,11,2,11,12,11,11,EEF1B2
3,-1,8,3,8,3,-1,13,9,EEF1B2
14,12,11,11,11,12,9,12,12,EEF1D
11,14,11,11,11,15,9,14,14,EEF1D
12,9,12,14,14,8,9,8,7,EEF1E1
2,12,2,11,2,2,11,11,2,EEF2
3,9,3,3,3,14,-1,14,14,EEF2K
9,8,-1,9,9,9,-1,9,15,EEPD1
9,3,3,-1,-1,8,-1,12,8,CRACR2B
14,14,14,14,14,14,-1,14,14,MICU2
9,-1,9,3,13,-1,-1,-1,-1,EFHB
2,11,14,11,11,11,12,11,11,EFHD2
13,9,9,9,9,3,-1,3,7,EFNA4
9,9,9,9,9,9,9,13,13,EFNA4
14,14,14,14,15,15,9,14,14,EFR3A
9,9,9,9,9,9,-1,9,9,EFR3B
3,-1,8,8,8,8,-1,8,8,EFL1
3,-1,8,8,8,8,-1,8,8,EFL1
14,8,14,14,14,12,12,12,12,EFTUD2
3,14,3,3,13,3,-1,3,7,EGLN1
9,9,9,9,-1,9,-1,9,9,EGOT
7,12,14,9,13,8,-1,6,7,EGR1
13,-1,3,3,3,8,14,3,3,EHBP1
12,14,8,8,8,8,-1,8,8,EHBP1L1
14,11,11,11,11,7,2,14,14,EHD1
9,9,-1,9,9,9,9,13,13,EHD2
9,-1,3,9,9,9,12,9,-1,EHD3
12,3,8,8,8,14,-1,14,14,EHD4
9,-1,-1,-1,9,8,-1,3,8,EHHADH
9,9,9,9,-1,-1,-1,-1,9,EHMT1
9,-1,9,9,9,9,-1,9,15,EHMT2
8,-1,8,8,8,12,-1,12,12,EI24
3,-1,9,3,3,8,-1,3,7,EI24
13,-1,9,9,13,9,-1,9,9,EID1
8,-1,3,8,8,9,-1,13,13,EID2
13,-1,9,3,3,-1,-1,-1,-1,EID2B
2,11,2,11,11,11,2,11,11,EIF1
9,9,9,9,6,13,-1,-1,-1,EIF1AD
11,14,14,14,14,15,11,14,14,EIF1B
14,3,14,11,15,14,9,12,12,EIF2A
11,14,11,11,11,11,2,11,11,EIF2AK1
13,9,9,9,13,9,9,13,13,EIF2AK1
14,14,14,14,14,15,9,14,14,EIF2AK2
13,-1,8,3,3,3,-1,8,7,EIF2AK3
15,14,14,8,12,14,-1,12,12,EIF2AK4
12,3,12,14,12,12,9,8,8,EIF2B1
12,9,8,8,12,12,12,8,12,EIF2B2
8,-1,3,3,3,3,-1,3,3,EIF2B3
12,3,8,8,12,12,-1,12,12,EIF2B4
12,3,12,8,12,12,-1,12,12,EIF2B4
8,9,8,8,8,8,-1,8,8,EIF2B5
12,8,8,8,8,8,14,8,8,AGO1
8,14,12,14,12,14,12,12,12,AGO2
13,3,-1,9,9,13,-1,-1,15,AGO3
3,12,9,9,13,13,-1,-1,-1,AGO4
8,9,8,8,8,8,-1,3,7,EIF2S1
13,-1,9,3,13,9,-1,9,9,EIF2S2
14,8,14,14,14,14,-1,14,14,EIF3A
11,12,11,11,11,11,12,11,11,EIF3B
3,-1,3,3,3,3,-1,3,3,EIF3B
12,-1,12,14,14,12,-1,12,12,EIF3B
11,14,11,11,11,7,14,11,11,EIF3D
2,8,2,11,2,11,12,11,2,EIF3E
11,8,11,11,11,7,12,14,11,EIF3F
11,8,11,11,11,14,14,14,14,EIF3G
11,12,11,11,11,7,14,14,11,EIF3H
11,8,11,11,15,15,14,14,14,EIF3I
8,3,8,8,8,8,9,8,8,EIF3J
11,12,11,11,11,11,14,11,11,EIF3K
2,12,2,11,2,11,12,11,11,EIF3L
2,14,2,11,2,2,11,11,2,EIF3L
11,8,11,11,15,14,14,14,14,EIF3M
11,8,11,11,11,14,14,14,14,EIF3M
11,11,2,11,2,11,11,11,11,EIF4A2
11,14,14,11,15,15,9,14,11,EIF4A3
11,14,2,11,2,11,14,11,11,EIF4B
3,9,3,3,6,3,-1,3,13,EIF4E
9,9,9,-1,-1,-1,-1,9,9,EIF4E1B
14,12,12,14,14,14,9,14,14,EIF4E2
11,11,6,11,15,15,14,14,14,EIF4E3
14,14,9,14,12,12,9,8,12,EIF4E3
13,-1,-1,-1,-1,-1,-1,9,9,EIF4EBP1
14,14,12,14,14,14,14,14,14,EIF4EBP2
3,8,8,8,8,8,-1,3,7,EIF4ENIF1
8,3,3,3,8,12,-1,12,8,EIF4G1
8,8,8,8,8,12,-1,12,12,EIF4G1
2,11,2,11,2,2,2,11,2,EIF4G2
8,12,12,8,12,8,12,8,8,EIF4G2
2,11,11,11,11,11,2,11,2,EIF4G2
8,12,12,3,8,12,12,12,12,EIF4G3
11,11,11,11,11,11,12,11,11,EIF4H
11,14,14,14,15,15,14,14,11,EIF4H
13,8,8,3,13,3,-1,13,13,EIF5
9,3,3,9,9,9,-1,9,9,EIF5
14,8,12,14,14,12,9,12,14,EIF5A
9,-1,3,8,8,9,-1,9,9,EIF5A2
3,9,3,3,3,8,14,8,7,EIF5B
14,8,14,14,14,15,9,14,11,EIF6
15,-1,-1,8,6,-1,-1,-1,-1,CELA1
9,-1,9,3,13,9,-1,9,9,ELAC1
13,-1,3,3,3,3,-1,13,13,ELAC2
13,3,-1,-1,-1,-1,14,-1,9,ELANE
11,11,11,11,11,15,11,14,14,ELF1
8,14,8,8,8,12,-1,8,8,ELF2
9,-1,9,9,13,9,-1,9,15,ELF2
9,-1,9,9,9,-1,9,-1,-1,ELK3
9,-1,9,9,9,9,-1,-1,-1,ELK4
8,14,8,8,8,8,-1,3,7,ELL
13,3,3,9,13,3,-1,3,3,ELL2
13,3,3,3,13,9,-1,13,13,ELMO1
14,14,14,14,14,6,12,6,6,ELMO1
9,9,9,3,13,-1,-1,-1,-1,ELMO1
13,9,-1,9,9,-1,-1,-1,-1,ELMO2
12,12,8,14,14,8,14,8,7,ELMO2
13,8,9,9,9,8,-1,3,8,ELMOD2
9,9,9,9,9,9,-1,9,9,ELMOD3
3,3,8,3,3,3,-1,3,3,ELOF1
8,8,8,8,8,8,9,12,12,ELOVL1
9,-1,-1,-1,-1,-1,9,9,-1,ELOVL3
14,11,14,14,14,6,-1,6,13,ELOVL5
8,3,12,14,12,8,-1,8,7,ELP2
9,9,9,-1,9,-1,-1,-1,-1,DBIL5P
12,3,14,14,15,12,9,12,12,ELP3
13,-1,9,3,13,13,-1,9,9,ELP4
3,3,9,3,6,3,-1,-1,-1,EMB
12,3,14,14,14,12,-1,12,12,EMG1
11,12,6,3,3,3,-1,3,3,EMILIN2
13,9,9,9,13,9,9,3,3,EML2
14,14,14,14,15,12,14,12,12,EML3
12,12,14,14,14,15,-1,14,14,EML4
3,-1,-1,9,-1,14,-1,11,2,EMP1
11,14,11,11,11,6,12,6,3,EMP3
12,6,-1,3,-1,-1,-1,-1,-1,ADGRE1
14,11,9,3,9,9,9,9,9,ADGRE2
3,14,-1,-1,-1,-1,-1,-1,-1,ADGRE3
9,-1,9,9,9,9,9,9,9,EMX2
13,3,3,3,13,3,14,3,3,EMX2OS
3,6,9,9,13,8,-1,8,7,ENC1
13,-1,8,3,8,12,11,14,14,ENDOD1
3,-1,9,3,3,3,-1,3,7,ENDOG
3,-1,-1,9,9,13,-1,9,15,ENG
9,3,9,9,9,9,-1,9,9,ENHO
2,14,11,11,11,2,11,11,2,ENO1
9,-1,9,9,9,3,-1,9,9,ENO3
12,-1,12,14,14,8,-1,8,8,ENOPH1
9,-1,-1,3,3,12,-1,8,12,ENOSF1
6,-1,9,3,12,8,-1,8,8,ENPP4
6,-1,-1,-1,-1,-1,-1,9,-1,ENSA
13,9,3,3,13,9,-1,13,3,ENSA
3,3,3,3,3,3,-1,3,3,ENSA
12,14,8,9,9,3,-1,13,9,ENTPD1
13,3,3,3,13,3,14,3,3,ENTPD3
8,-1,3,3,3,12,-1,12,12,ENTPD6
9,-1,-1,-1,-1,12,-1,13,13,ENTPD7
11,14,14,14,14,14,9,14,14,ENY2
8,12,8,8,8,8,-1,3,3,EP300
3,3,8,8,8,3,-1,3,13,EP400
9,8,3,3,3,13,9,9,15,EPB41
9,3,3,3,3,9,14,9,9,EPB41
9,-1,3,9,13,3,-1,13,13,EPB41L2
13,9,8,9,9,8,9,8,8,EPB41L2
14,-1,-1,9,-1,7,12,12,14,EPB41L3
13,3,3,3,13,3,9,3,3,EPB41L4A
13,8,9,9,9,9,-1,9,13,EPB41L5
13,8,3,3,3,13,-1,9,15,EPC1
9,-1,-1,-1,13,14,14,8,8,EPDR1
13,-1,8,3,3,9,-1,9,9,EPHA10
13,3,3,9,9,3,14,13,3,EPHA8
13,-1,-1,-1,-1,3,-1,8,3,EPHB2
9,8,-1,-1,-1,13,-1,13,9,EPHB4
6,9,9,3,9,-1,-1,-1,-1,EPHB6
6,-1,-1,-1,-1,3,-1,6,3,EPHX1
13,3,3,3,3,3,9,13,13,EPM2A
13,9,9,3,3,3,-1,3,13,EPM2AIP1
11,14,14,14,14,11,11,11,2,EPN1
3,12,-1,3,13,-1,12,-1,-1,EPOR
14,9,11,11,15,15,-1,14,14,EPRS
8,8,8,8,8,3,-1,3,3,EPS15
9,8,9,9,9,13,-1,9,15,EPS15L1
13,-1,-1,-1,-1,12,-1,12,12,EPS8
9,9,9,9,9,12,9,8,8,EPS8L3
14,12,12,14,12,15,14,12,14,EPSTI1
12,-1,12,8,12,12,-1,12,12,ERAL1
9,-1,-1,9,9,9,-1,-1,-1,ERAP1
7,6,14,11,14,6,9,6,6,ERAP2
13,8,3,3,3,3,9,13,3,ERBIN
9,9,-1,9,9,13,-1,-1,-1,ERBIN
9,-1,9,9,9,9,-1,9,15,ERC1
14,3,12,8,8,8,-1,8,8,ERCC1
9,-1,-1,-1,-1,-1,-1,-1,-1,ERCC1
14,3,12,8,12,12,14,12,12,ERCC1
3,-1,3,3,3,3,-1,13,3,ERCC2
3,3,8,8,8,3,-1,3,3,ERCC3
13,-1,9,9,9,9,-1,9,9,ERCC8
9,-1,-1,9,9,-1,-1,-1,15,ERCC8
9,9,9,-1,-1,9,-1,9,9,EREG
13,8,9,9,9,9,-1,9,9,ERF
8,14,8,3,8,8,-1,8,8,ERGIC1
8,8,8,8,8,3,-1,3,13,ERGIC2
12,3,12,14,14,12,-1,12,12,ERGIC3
11,8,14,11,15,7,9,11,11,ERGIC3
14,12,14,14,15,14,14,14,14,ERH
8,8,8,8,12,3,-1,3,7,ERI1
9,-1,-1,-1,-1,9,-1,9,9,ERI2
8,-1,12,8,12,8,9,8,8,ERI3
14,14,12,8,8,8,12,3,7,ERICH1
14,12,8,8,8,8,12,8,7,ERICH1
13,9,-1,9,-1,3,-1,3,7,ERLIN1
9,9,9,9,9,9,-1,9,9,ERLIN2
9,9,9,9,9,9,-1,9,9,ERLIN2
8,3,9,3,13,12,-1,8,12,ERLIN2
8,3,9,3,13,3,-1,3,3,ERMAP
8,12,8,8,8,8,-1,8,8,ERO1A
9,9,9,-1,-1,9,9,9,9,ERO1B
3,8,3,8,8,13,-1,13,-1,ERP27
12,3,12,14,12,8,-1,8,8,ERP29
2,12,2,11,11,11,12,11,11,ERP29
9,9,9,9,9,9,-1,-1,9,ERP44
9,9,9,9,9,9,-1,9,9,ERP44
13,8,9,3,13,3,-1,13,13,ESCO1
11,8,11,11,11,15,12,14,11,ESD
3,-1,3,3,3,3,-1,13,13,ESD
9,-1,9,9,13,8,-1,8,7,ESM1
3,8,9,9,13,12,-1,12,12,ESRRA
14,6,11,11,11,6,9,12,14,ESYT1
8,8,8,3,8,8,9,8,8,ETF1
14,14,14,14,14,15,14,14,14,ETF1
14,8,14,14,15,7,2,14,11,ETFA
8,3,8,8,8,14,-1,12,14,ETFB
14,12,11,14,15,11,14,11,11,ETFB
8,3,3,3,3,14,-1,12,14,ETFDH
13,-1,-1,9,9,3,-1,12,14,ETHE1
13,9,3,3,13,-1,-1,-1,9,ETNK1
3,3,3,3,3,3,-1,3,14,ETNK1
3,9,9,9,9,8,-1,3,11,ETNK1
9,-1,-1,-1,-1,-1,-1,-1,-1,ETNK1
12,12,2,11,2,7,14,14,14,ETS1
15,8,2,11,2,6,14,12,6,ETS1
12,14,-1,3,13,14,-1,12,12,ETS2
13,-1,-1,3,9,9,-1,9,15,ETV2
13,8,3,9,13,9,-1,9,9,ETV3
14,14,14,14,12,14,12,14,14,ETV6
11,11,12,14,15,6,14,3,13,EVI2A
12,12,8,3,3,9,9,-1,-1,EVI2B
2,11,2,11,11,6,12,6,6,EVI2B
12,14,14,8,12,14,14,12,12,EVI5
8,3,3,8,8,3,9,8,7,EVI5L
14,6,11,11,2,15,11,12,6,EVL
14,14,14,14,15,15,12,14,14,EWSR1
11,14,11,11,15,15,14,14,14,EWSR1
12,12,12,14,12,12,9,12,8,EWSR1
3,-1,3,3,3,8,-1,8,8,EXD2
8,12,3,3,3,8,-1,8,8,EXOC1
8,12,3,3,3,12,-1,8,8,EXOC1
3,9,3,3,8,3,-1,3,3,EXOC2
8,3,8,8,8,8,9,8,8,EXOC4
9,-1,9,9,9,9,-1,-1,9,EXOC4
3,3,3,3,3,9,9,13,13,EXOC5
8,12,8,8,8,8,-1,8,8,EXOC6
12,12,12,14,14,14,9,12,12,EXOC7
6,3,9,9,9,-1,-1,-1,-1,EXOC8
9,-1,-1,-1,-1,9,-1,9,9,ERI2
8,3,8,8,8,3,-1,3,3,EXOSC1
14,12,14,14,15,14,-1,12,12,EXOSC1
12,9,12,8,12,8,-1,8,7,EXOSC10
12,3,14,14,14,12,-1,12,12,EXOSC10
8,9,8,8,8,8,-1,8,7,EXOSC10
13,-1,3,3,3,9,-1,13,13,EXOSC2
14,12,12,14,12,12,-1,12,12,EXOSC3
8,8,8,8,8,8,-1,8,8,EXOSC3
13,-1,9,9,9,13,-1,13,13,EXOSC4
3,-1,3,3,3,13,-1,9,15,EXOSC5
14,9,14,14,14,12,-1,12,12,EXOSC6
8,-1,12,14,12,8,-1,8,7,EXOSC7
8,3,12,8,12,8,-1,8,7,EXOSC8
12,3,12,14,14,8,-1,3,3,EXOSC9
8,9,12,14,12,3,-1,3,3,EXOSC9
8,3,9,9,13,14,9,12,12,EXT1
3,-1,3,3,3,12,-1,8,8,EXT2
3,-1,9,3,3,12,9,3,7,EXT2
9,-1,9,9,13,9,-1,9,13,EXTL2
3,12,3,3,3,3,-1,13,13,EXTL3
9,3,9,9,9,-1,-1,-1,-1,EYA3
9,3,3,9,13,3,9,13,13,EYS
9,9,9,9,9,9,9,9,9,EZH1
9,-1,9,9,9,3,9,13,13,EZH2
11,14,2,11,2,2,14,11,2,EZR
15,3,9,9,9,8,12,8,8,F11R
14,14,8,8,12,15,11,14,14,F11R
9,3,-1,9,9,8,-1,3,7,F12
14,-1,6,3,6,13,2,9,9,F13A1
2,11,2,11,2,2,2,11,2,F2R
12,14,-1,3,6,15,-1,11,11,F2RL1
8,14,-1,3,13,14,-1,14,11,F2RL1
12,14,-1,3,9,-1,-1,-1,-1,F5
13,-1,-1,-1,-1,8,-1,3,7,FAAH
3,-1,3,3,3,8,-1,12,14,FABP5
15,-1,6,9,6,6,-1,6,6,FABP5
12,-1,12,8,12,14,-1,11,11,FABP5
8,12,8,8,12,12,9,12,12,FADD
