CD14,CD15,IL,CD4,CD8,CD19,PLA,RE,TR,V1
5,3,5,3,5,5,6,5,5,ACTL6A
6,5,6,11,6,10,10,11,11,ACTN1
11,9,9,9,10,9,10,9,9,ACTN4
12,2,1,5,5,9,9,6,8,ACTR10
8,6,8,8,6,8,8,8,8,ACTR1A
5,5,5,3,3,3,10,5,5,ACTR1B
6,10,8,6,6,8,5,8,8,ACTR2
5,10,5,5,5,5,5,5,5,ACTR3
12,3,3,12,12,3,5,3,3,ACTR5
5,10,5,5,5,5,6,5,5,ACTR6
5,8,3,8,8,10,8,3,5,ACTR8
8,8,6,8,8,8,8,8,8,ACVR1
8,8,6,8,8,8,8,11,11,ACVR1B
10,10,10,10,10,5,8,10,10,ACVR2A
6,8,6,6,6,10,5,6,6,ACVR2A
10,6,10,10,10,10,5,11,10,ACYP1
10,10,10,10,10,5,10,10,10,ACYP1
6,5,5,10,10,10,8,10,10,ACYP2
3,2,5,3,3,3,5,3,5,ACYP2
6,10,6,8,8,8,8,10,10,ADA
6,6,6,6,6,8,8,11,11,ADAL
8,8,6,6,6,8,10,6,6,ADAM10
3,5,3,11,10,10,10,12,3,ADAM10
8,8,8,8,8,8,8,8,8,ADAM12
6,8,6,11,6,10,5,11,11,ADAM15
6,6,6,6,6,8,8,6,6,ADAM15
8,6,8,8,8,8,8,8,8,ADAM15
10,10,5,6,6,8,8,5,5,ADAM17
6,6,6,6,6,8,8,6,6,ADAM17
5,8,3,10,10,10,2,11,8,ADAM19
2,3,2,2,2,2,2,2,2,ADAM2
3,3,5,5,5,5,10,3,3,ADAM8
2,3,9,12,12,9,9,9,6,ADAM9
10,3,5,5,5,5,3,5,5,ADAMDEC1
2,8,2,12,12,3,9,2,2,ADAMTS4
2,2,2,2,2,2,2,2,2,ADAMTSL3
12,5,5,3,3,3,3,5,10,ADAMTSL4
12,5,3,3,3,3,12,3,3,ADAMTSL4
5,6,5,11,10,5,5,5,5,ADAP1
6,10,10,6,6,10,8,10,10,ADAP2
10,10,10,11,6,10,8,10,10,ADAR
6,6,6,11,6,10,8,11,11,ADAR
3,5,5,3,3,3,10,10,10,ADARB1
5,10,5,10,10,5,10,10,10,ADAT1
5,10,10,10,10,10,10,10,10,ADAT3
3,6,10,10,10,10,10,10,10,ADCK1
2,3,2,12,12,2,2,2,2,ADCK2
3,3,3,3,3,3,3,3,3,ADCK4
5,10,10,10,10,10,8,10,10,ADCY3
5,5,3,5,5,5,5,5,5,ADCY7
3,3,10,11,10,10,3,10,10,ADCY9
6,10,6,11,6,10,8,6,6,ADD1
12,2,9,12,12,3,9,9,6,ADD1
6,5,6,6,6,8,5,11,6,ADD3
3,5,5,3,3,3,3,3,3,ADD3
5,6,10,10,10,5,8,10,10,ADD3
3,5,3,6,6,5,3,3,3,ADH5
6,8,8,11,10,10,5,6,6,ADHFE1
6,8,6,6,6,8,8,6,6,ADHFE1
10,6,8,10,5,10,8,8,8,ADI1
5,8,10,3,3,5,8,6,6,ADIPOQ
10,6,10,11,6,10,12,3,5,ADIPOR1
10,8,10,6,8,8,12,5,5,ADIPOR1
10,6,10,11,10,5,8,10,11,ADIPOR2
6,5,3,11,6,8,8,3,3,ADK
5,6,10,3,3,5,3,5,10,ADM
8,8,6,8,8,8,8,6,6,ADNP
10,6,10,10,10,10,8,10,10,ADNP
10,5,6,6,6,8,8,6,6,ADNP2
5,2,6,8,8,8,5,11,6,ADO
3,3,12,3,3,3,5,3,3,ADORA1
10,10,10,11,10,10,10,10,10,ADORA2B
12,2,12,12,12,3,2,12,2,TMIGD3
5,10,10,10,10,10,10,5,5,ADORA3
10,10,10,11,6,10,5,10,10,ADPGK
12,3,12,3,3,3,6,12,2,ADPRH
3,5,5,5,5,5,10,5,5,ADPRHL2
10,10,10,10,5,5,8,10,10,ADRA2A
5,5,3,5,5,5,3,5,10,ADRA2B
5,5,5,5,5,5,3,5,5,ADRB2
5,3,5,10,10,10,3,5,5,GRK2
3,3,5,3,3,3,3,5,5,GRK3
3,5,5,5,5,5,3,5,5,ADRM1
3,3,1,12,12,3,3,9,6,ADRM1
3,10,3,3,3,3,3,3,3,ADSL
5,2,1,3,3,3,5,6,6,ADSS
12,2,1,12,12,3,9,6,6,ADSS
