CD14,CD15,IL,CD4,CD8,CD19,PLA,RE,TR,V1
3,8,6,10,5,3,2,6,6,ARFGEF1
3,5,12,5,5,3,12,12,3,ARFGEF2
10,10,8,6,6,8,10,6,11,ARFIP1
5,5,5,3,3,3,5,5,5,ARFIP1
8,8,8,8,8,8,8,8,8,ARFIP1
6,8,8,6,6,8,8,8,8,ARFIP2
8,8,8,6,8,8,8,8,8,ARGLU1
5,10,5,5,5,5,5,5,5,ARHGAP1
3,3,3,3,3,3,3,3,3,ARHGAP10
3,3,3,3,3,3,3,3,3,ARHGAP11A
12,10,3,12,12,3,5,3,3,ARHGAP12
3,5,3,3,3,3,3,3,3,ARHGAP12
5,6,5,5,5,5,8,5,5,ARHGAP15
11,2,12,12,12,2,10,3,3,ARHGAP17
10,8,6,10,10,10,8,10,11,ARHGAP17
3,10,5,3,3,3,6,5,5,ARHGAP18
10,10,5,10,10,10,8,10,10,ARHGAP21
8,8,8,8,8,8,8,8,8,ARHGAP22
8,8,8,11,6,10,8,6,6,ARHGAP24
9,2,3,3,3,3,10,5,5,ARHGAP24
6,8,8,6,6,8,8,8,6,ARHGAP25
8,8,8,8,8,8,5,8,8,ARHGAP26
6,8,8,11,6,8,8,8,1,ARHGAP27
5,6,8,11,6,8,8,6,6,ARHGAP30
3,3,12,3,3,2,5,2,2,ARHGAP30
12,3,3,3,3,2,5,12,2,ARHGAP30
5,10,10,5,5,5,8,10,10,ARHGAP5
6,8,8,8,8,8,8,8,1,ARHGAP9
3,2,8,8,8,8,3,8,8,ARHGAP9
3,5,12,5,5,3,5,3,3,ARHGDIA
10,10,5,5,5,5,10,10,10,ARHGDIB
11,3,12,9,3,3,10,3,3,ARHGEF1
8,8,10,8,8,8,5,5,5,ARHGEF1
10,3,12,6,6,10,8,12,2,ARHGEF10L
10,6,6,12,12,3,8,6,6,ARHGEF10L
6,5,10,10,10,10,8,6,11,ARHGEF10L
10,3,10,5,5,5,3,11,11,ARHGEF11
10,10,10,10,5,5,5,11,11,ARHGEF11
5,10,10,5,5,5,8,10,10,ARHGEF18
5,10,10,5,5,5,8,10,10,ARHGEF19
6,6,8,8,8,8,12,8,8,ARHGEF2
6,6,10,10,10,10,8,11,11,ARHGEF3
3,10,3,3,3,5,5,3,3,ARHGEF7
6,6,3,11,10,10,8,3,3,ARID1A
8,8,8,8,8,8,8,8,8,ARID2
5,10,10,10,5,5,3,5,5,ARID2
6,8,6,5,10,5,8,6,6,ARID3A
12,6,3,2,12,2,12,3,5,ARID3B
3,3,3,3,12,3,12,3,3,ARID4A
6,6,6,6,6,8,5,11,11,ARID4A
5,10,10,5,5,5,8,10,10,ARID4A
5,5,5,5,5,5,8,5,10,ARID4B
10,10,10,10,10,10,8,11,10,ARID4B
8,8,8,8,8,8,8,8,8,ARID4B
8,6,8,6,6,8,8,8,8,ARID5A
10,10,6,10,10,5,2,10,6,ARID5B
10,10,10,10,10,10,8,10,10,ARIH1
6,10,10,10,10,10,8,11,11,ARIH2
10,8,6,11,10,10,10,11,11,ARL1
3,6,5,3,3,3,6,3,3,ARL11
12,3,3,3,3,3,10,3,3,ARL13B
5,10,10,5,5,5,8,10,10,ARL15
6,8,8,11,6,8,8,10,6,ARL15
12,2,2,12,12,2,6,2,2,ARL16
5,8,5,5,5,5,8,5,5,ARL16
9,2,12,12,12,2,12,12,3,ARL2
8,8,8,8,8,8,8,8,6,ARL2BP
3,6,3,3,3,3,3,5,5,ARL4A
5,10,5,10,10,5,8,5,5,ARL4A
10,6,6,8,8,8,5,6,6,ARL4A
10,6,10,10,10,10,6,11,11,ARL4C
8,8,8,8,8,8,8,8,8,ARL4D
5,10,10,6,8,10,8,5,5,ARL5A
6,6,8,8,8,8,5,8,8,ARL5A
8,8,8,6,6,8,6,8,8,ARL5A
6,6,6,6,6,8,8,6,6,ARL5B
5,10,5,5,5,10,8,5,5,ARL5B
8,8,5,8,8,8,8,5,5,ARL6IP1
3,5,3,12,12,3,10,3,5,ARL6IP1
10,10,8,11,6,8,12,6,6,ARL6IP4
6,6,10,10,10,10,5,11,10,ARL6IP4
5,9,1,11,10,5,2,2,2,ARL6IP5
10,9,1,6,6,9,2,2,2,ARL6IP6
12,2,12,12,12,3,6,12,2,ARL8B
6,5,6,11,10,10,8,6,6,ARMC1
8,8,8,8,8,8,8,8,8,ARMC10
6,10,8,8,8,8,8,8,8,ARMC10
10,8,8,11,10,8,8,8,8,ARMC5
12,3,12,12,2,3,6,12,2,ARMC6
2,2,2,12,12,2,6,2,2,ARMC7
12,2,2,2,2,2,2,2,2,ARMC8
6,6,6,6,6,10,10,11,11,ARMC8
6,5,8,11,6,5,5,11,11,ARMC8
10,3,10,10,10,10,3,10,10,MANF
12,3,3,12,12,3,12,3,3,ARNT
3,10,6,5,5,5,3,11,11,ARNT
12,10,10,5,3,5,5,10,10,ARNTL
2,2,2,2,2,2,2,2,2,ARPC1A
5,6,6,6,8,10,8,10,11,ARPC1B
5,5,5,5,5,5,12,5,3,ARPC2
8,8,8,8,6,8,8,8,8,ARPC2
12,10,12,3,3,5,12,3,3,ARPC3
5,6,10,10,10,10,5,10,10,ARPC4
10,6,6,11,6,10,8,6,11,ARPC4
6,6,6,6,6,10,8,11,11,ARPC5
12,2,12,3,3,3,2,3,3,ARPC5L
5,5,10,5,5,5,12,10,10,ARPP19
3,3,3,3,3,3,6,3,3,ARPP19
8,8,1,5,5,5,8,6,6,ARRB1
5,10,8,6,6,8,8,8,1,ARRB1
5,10,8,6,6,10,8,8,8,ARRB2
10,5,8,10,10,10,8,8,8,ARRB2
3,5,5,5,5,5,5,3,3,ARRDC2
5,8,3,5,5,5,5,3,3,ARRDC2
5,5,6,11,6,10,8,11,11,ARRDC3
10,3,10,10,10,10,3,10,10,ARRDC4
10,5,10,10,10,10,5,10,10,ARRDC5
12,3,3,3,3,5,3,10,10,SRRT
12,3,3,3,3,5,3,5,5,ARSA
3,3,3,3,3,3,12,3,5,ARSB
5,5,3,11,10,10,10,3,3,ARSB
8,8,8,8,8,8,8,8,8,ARSG
12,2,3,12,12,3,12,5,10,ARV1
6,10,6,6,6,10,8,6,6,ASAH1
3,10,5,10,10,10,3,3,3,ASAH1
3,6,5,9,5,5,5,5,5,ASAH2B
3,10,3,9,3,5,5,3,3,ASAP1
12,3,3,9,5,3,5,5,5,ASAP1
12,3,3,3,3,3,3,5,3,ASAP1
9,2,3,9,12,3,12,3,5,ASAP2
8,8,8,8,8,8,8,8,8,ASAP2
5,10,10,11,6,10,10,11,10,ASAP3
3,10,1,3,3,5,3,6,6,ASB1
5,5,6,5,10,5,5,6,6,ASB13
5,5,6,5,5,5,5,6,6,ASB6
5,5,10,3,3,5,8,10,10,ASB7
6,8,8,8,8,8,8,8,8,ASB7
8,8,8,6,8,8,8,8,8,ASB8
6,6,6,11,6,10,8,11,11,ASB8
5,10,1,5,5,5,5,5,5,ASCC1
6,5,10,3,5,5,8,10,11,ASCC2
9,2,3,9,3,3,10,9,9,ASCC3
8,6,8,11,6,10,8,8,8,ASCC3
10,10,10,6,6,8,5,5,5,ASCC3
6,8,8,6,6,8,8,8,8,ASCL2
5,6,5,5,5,5,8,5,5,ASF1A
9,3,3,9,3,3,10,3,5,ASF1B
5,5,5,5,5,5,3,5,5,ASGR1
8,8,8,8,8,8,8,8,8,ASGR2
3,5,5,3,5,3,12,5,5,ASGR2
3,3,3,3,3,5,5,5,5,ASH1L
8,8,8,6,6,8,5,8,8,ASH2L
8,8,8,8,8,8,8,8,8,ASNA1
10,8,6,6,6,10,8,11,11,ASNS
6,6,6,11,6,10,8,11,11,ASNS
5,10,5,5,5,5,10,10,5,ASNSD1
3,8,3,3,3,3,3,12,2,ASPH
3,8,3,5,5,3,5,3,3,ASPHD2
6,6,8,6,6,10,8,8,1,ASPSCR1
12,3,3,12,12,3,12,3,3,ASRGL1
6,6,6,6,6,10,8,11,11,ASS1
6,8,8,6,6,8,5,8,8,ASTE1
10,8,10,10,10,10,8,10,10,ASXL1
3,10,3,3,3,3,3,5,5,ASXL2
10,8,5,3,3,5,2,5,10,ATAD1
5,6,3,12,2,3,2,3,5,ATAD1
3,3,5,3,3,3,12,3,5,ATAD2
10,6,3,12,12,5,3,3,5,ATAD2B
5,10,12,12,12,3,3,12,3,ATAD3A
12,2,3,2,2,2,2,12,3,ATE1
12,2,3,12,12,3,12,3,3,ATF1
3,10,12,12,12,3,6,3,3,ATF2
10,6,6,11,6,10,8,6,6,ATF4
2,2,2,2,2,2,6,12,2,ATF4
3,3,3,3,3,3,5,3,3,ATF4
10,3,10,10,10,10,3,11,6,ATF5
5,10,6,11,6,10,10,6,6,ATF6
12,3,3,3,3,3,6,3,3,ATF6B
12,8,8,10,10,8,8,8,8,ATF6B
2,2,2,2,2,2,2,2,2,ATF7IP
6,6,6,6,6,10,5,11,11,ATG10
5,6,5,3,3,3,10,5,5,ATG12
5,8,5,5,5,5,8,5,5,ATG12
5,6,5,5,5,5,8,5,10,ATG16L1
3,10,5,3,3,5,12,5,5,ATG16L1
3,10,3,12,12,3,3,3,3,ATG16L2
5,6,10,5,5,5,8,10,10,ATG2A
12,6,3,12,12,3,5,3,3,ATG2B
2,2,3,9,3,3,12,2,2,ATG3
2,3,1,8,6,9,3,5,10,ATG3
12,10,2,5,5,5,2,2,2,ATG4B
12,8,8,8,8,8,8,6,6,ATG4C
3,10,5,9,5,5,8,5,5,ATG4C
6,8,9,12,12,9,8,10,11,ATG4D
3,3,3,3,3,3,3,3,3,ATG4D
3,3,8,11,10,8,3,8,1,ATG5
2,3,9,2,2,2,9,3,9,ATG7
10,5,10,11,10,10,8,11,11,ATG9A
3,2,3,3,3,5,9,3,3,ATG9A
5,10,10,3,3,3,10,10,11,ATHL1
2,5,9,2,2,2,3,9,9,ATIC
12,2,9,12,12,2,5,9,6,ATL1
12,2,1,3,12,3,3,6,1,ATL2
5,3,10,11,10,10,3,10,10,ATL3
3,3,10,10,10,10,3,10,10,ATM
3,3,12,10,5,5,12,12,2,ATM
8,9,1,12,12,3,3,6,1,ATMIN
8,8,9,12,12,9,9,10,11,ATMIN
2,5,2,12,12,2,9,12,9,ATN1
2,5,2,12,12,2,9,12,9,ATOH8
10,8,9,10,3,2,10,9,9,ATOX1
5,6,9,3,3,2,2,9,9,ATP10A
12,9,12,12,2,2,9,12,2,ATP11B
10,5,5,10,10,5,10,10,11,ATP11B
8,6,6,6,8,10,5,6,6,ATP13A1
6,8,8,11,10,8,10,8,8,ATP13A2
12,8,6,11,6,3,5,6,6,ATP1A1
12,3,1,6,8,9,3,6,8,ATP1A1
12,2,5,12,12,5,9,3,3,ATP1A1
12,2,2,2,2,2,6,2,2,ATP1A3
8,8,8,8,8,8,8,8,8,ATP1B1
5,6,5,5,5,5,12,5,5,ATP1B1
5,6,5,5,5,5,12,5,5,ATP1B1
3,5,3,3,3,3,5,3,5,ATP1B3
10,10,10,10,10,5,3,10,10,ATP1B3
5,3,5,10,10,5,10,5,5,ATP1B3
12,3,12,12,12,3,6,12,2,ATP2A2
3,3,5,3,3,3,10,5,3,ATP2A2
6,10,8,10,10,10,5,6,6,ATP2A2
12,3,3,12,12,3,6,3,3,ATP2A3
6,8,6,11,10,10,8,6,6,ATP2A3
8,8,8,8,8,8,8,8,8,ATP2B1
8,8,8,8,8,8,8,8,8,ATP2B1
5,5,10,10,10,10,5,10,10,ATP2B4
6,8,6,11,10,10,8,6,6,ATP2B4
12,5,3,5,5,5,2,12,3,ATP2C1
8,8,8,6,8,8,10,8,1,ATP2C1
6,6,10,10,10,10,12,10,11,ATP2C1
5,5,5,10,10,10,3,10,10,ATP5A1
5,5,5,10,10,5,3,5,10,ATP5A1
10,5,10,10,10,10,3,10,10,ATP5B
3,8,2,11,10,3,2,2,2,ATP5C1
5,3,10,3,3,5,3,10,10,ATP5D
5,5,5,3,3,5,8,10,10,ATP5D
6,6,10,10,10,10,5,10,10,ATP5E
9,2,12,12,12,2,12,12,3,ATP5F1
3,2,6,5,3,3,2,11,11,ATP5F1
6,8,3,3,3,10,8,5,5,ATP5G1
10,5,6,11,10,10,5,11,11,ATP5G1
3,5,5,3,3,3,5,5,5,ATP5G2
3,5,5,3,3,3,3,5,5,ATP5G3
8,8,8,8,8,8,8,8,8,ATP5H
8,8,8,8,8,8,8,8,8,ATP5H
2,2,3,3,3,3,9,3,5,ATP5I
2,2,3,11,5,9,9,3,5,ATP5I
5,6,3,10,10,10,8,3,3,ATP5J
2,9,9,12,12,3,3,9,9,ATP5J
3,6,3,3,3,3,3,3,3,ATP5J
8,8,8,8,8,8,8,8,8,ATP5J2
8,8,8,8,8,8,8,8,8,ATP5J2
6,6,3,11,10,10,5,5,3,ATP5L
12,3,12,5,3,5,3,12,2,ATP5L
10,10,10,10,10,10,8,10,10,ATP5O
9,3,3,9,5,3,10,3,5,ATP5S
10,10,5,10,10,10,8,10,10,ATP5S
10,3,10,10,10,10,3,10,10,ATP5S
2,2,9,9,10,9,9,3,9,ATP5SL
8,8,10,8,8,8,8,8,6,ATP6V0A1
2,2,2,2,2,2,2,2,2,ATP6V0A2
3,2,3,3,3,5,10,3,3,ATP6V0B
5,5,10,10,10,5,12,10,10,ATP6V0C
12,5,3,12,12,3,6,3,3,ATP6V0C
10,6,10,10,10,10,10,10,10,ATP6V0D1
10,6,10,5,5,5,8,11,11,ATP6V0D2
12,5,12,3,3,3,10,12,3,ATP6V0E1
5,5,5,5,5,5,5,5,10,ATP6V0E1
10,10,10,10,10,10,10,10,11,ATP6V0E2
5,5,5,5,5,5,5,5,5,ATP6V1A
5,10,3,5,5,3,10,3,3,ATP6V1B2
12,3,12,12,12,3,10,3,3,ATP6V1C1
3,3,5,5,5,5,5,5,5,ATP6V1C1
3,3,5,3,3,5,10,5,5,ATP6V1D
8,8,8,8,8,8,8,8,8,ATP6V1E1
5,5,3,5,5,5,5,3,3,ATP6V1E1
3,3,3,3,3,3,10,3,3,ATP6V1E2
10,5,10,11,6,8,8,10,10,ATP6V1F
3,3,3,5,5,5,5,3,3,ATP6V1G1
3,5,3,5,5,5,10,3,3,ATP6V1H
3,3,12,5,5,5,10,12,2,ATP6V1H
5,5,5,10,10,10,5,5,3,ATP8B4
10,6,6,11,10,10,10,11,11,ATP9A
12,5,12,5,5,5,5,12,2,ATP9B
8,8,10,8,8,8,8,6,6,ATPAF1
3,5,12,10,10,3,5,3,3,ATPAF2
3,5,12,10,10,3,9,3,3,CTU1
8,8,8,8,8,8,8,8,8,DPH6
9,3,5,9,5,5,3,10,11,ATPIF1
6,8,8,11,6,10,8,6,8,ATPIF1
3,5,10,8,8,8,8,11,11,ATRIP
12,2,1,6,8,5,3,6,6,ATRIP
6,8,8,8,8,8,8,8,8,ATRN
8,8,8,8,8,8,8,8,8,ATRN
3,3,10,5,3,5,10,10,10,ATRN
10,10,10,11,10,10,8,10,10,ATXN1
3,3,9,3,3,5,10,9,9,ATXN1
10,10,10,10,10,10,8,11,11,ATXN10
5,5,5,3,3,3,3,5,5,ATXN10
12,3,2,12,12,2,10,2,2,ATXN1L
8,8,8,8,8,8,8,8,8,ATXN2
3,5,5,3,3,3,3,5,5,ATXN3
10,3,10,10,10,10,3,10,10,ATXN7L2
3,3,3,12,12,2,12,3,3,ATXN7L3
5,10,12,5,3,5,8,3,3,AUH
6,8,6,6,6,8,8,6,6,AUP1
6,6,6,8,8,8,8,11,10,AURKA
6,8,10,6,6,8,12,5,5,AURKA
12,5,3,5,5,3,5,3,5,AURKAIP1
5,3,5,10,10,5,12,10,10,AUTS2
5,10,5,3,3,5,3,10,10,AVEN
10,10,5,5,5,5,8,5,10,AVL9
8,8,8,5,5,5,8,8,8,AVL9
3,5,8,8,8,10,8,8,1,AVP
6,10,8,8,8,8,8,8,8,AVPI1
2,2,12,12,12,2,6,12,2,AXIN1
10,8,8,8,8,10,10,11,6,CSRNP1
3,8,1,8,8,3,6,5,10,CEP131
3,10,3,3,3,3,10,3,3,AZI2
5,3,5,5,5,10,12,5,10,AZIN1
8,6,8,8,8,8,8,8,8,AZIN1
10,5,10,9,10,5,3,11,11,B2M
10,3,5,5,5,5,5,10,10,B3GALNT2
5,3,5,5,5,5,5,5,5,B3GALT4
10,10,10,11,10,10,5,11,6,B3GALT6
5,10,3,5,5,5,3,5,5,B3GAT1
8,8,8,8,8,8,8,8,8,B3GAT3
12,10,3,3,3,5,5,3,3,B4GAT1
3,10,5,10,10,10,3,5,5,B3GNT2
3,5,12,5,5,5,5,12,2,B3GNT5
8,8,8,8,8,8,8,8,8,B3GNT6
2,2,2,2,2,2,2,2,2,B3GNT8
8,8,8,8,8,8,8,8,8,B3GNTL1
8,8,8,6,8,8,10,8,8,B4GALNT4
5,8,3,10,10,10,5,3,3,B4GALT1
12,2,12,3,3,3,2,12,3,B4GALT3
3,6,12,12,12,3,2,12,3,B4GALT4
3,8,3,3,3,3,6,3,3,B4GALT5
8,8,8,8,8,8,8,8,8,B4GALT7
12,5,1,3,3,10,10,6,6,B9D2
8,6,6,8,8,8,10,6,6,BACH1
12,2,10,3,3,3,12,5,5,BAD
12,3,9,12,12,3,3,9,11,BAG1
3,5,1,3,5,5,3,6,1,BAG3
12,3,3,12,12,3,3,3,3,BAG4
12,3,3,12,12,3,3,3,3,BAG5
12,5,2,12,12,2,5,12,2,BAHD1
3,5,3,5,5,5,3,3,3,ADGRB1
3,2,9,12,12,3,12,5,5,BAIAP2
5,10,10,3,3,3,3,10,10,BAIAP2
3,3,12,12,12,3,3,3,3,BAIAP2
5,5,5,3,3,5,5,5,5,BAK1
10,10,10,10,10,10,8,10,10,BANF1
3,10,5,3,3,5,8,10,10,BANF1
3,5,5,3,3,3,3,5,5,BANK1
5,10,6,10,5,5,8,11,11,BANP
3,6,3,3,3,5,3,3,5,BAP1
5,10,8,11,6,10,10,8,1,BARD1
3,5,6,11,10,5,5,6,6,BASP1
3,5,3,5,5,5,5,3,3,PRRC2A
10,6,10,10,10,10,8,10,10,PRRC2C
6,8,6,6,6,8,8,6,6,PRRC2B
10,6,10,10,10,5,8,10,10,BAG6
8,8,8,8,8,8,8,8,8,BAG6
8,8,10,8,8,8,8,11,6,ABHD16A
5,5,5,11,10,10,8,10,10,BATF
6,6,6,8,8,8,5,6,6,BATF2
3,10,3,3,3,3,3,3,3,BATF3
3,8,5,3,3,3,6,3,3,BAX
3,6,10,10,10,10,8,10,10,BAX
12,8,3,5,5,5,10,3,5,BAX
12,5,12,3,3,3,12,3,3,BAZ1A
3,5,3,3,3,5,3,3,3,BAZ1A
3,5,3,5,5,5,3,3,3,BAZ1B
5,5,5,5,5,10,8,9,5,BAZ2A
5,10,5,10,10,10,8,3,5,BAZ2B
3,5,5,3,3,3,10,5,5,BBC3
5,8,10,5,5,5,8,10,10,BBS1
3,5,3,3,3,3,5,5,3,BBS10
3,5,5,5,5,5,3,3,5,BBS2
5,8,10,5,5,5,8,10,10,BBS2
5,6,5,5,5,5,5,5,5,BBS7
3,5,8,11,10,10,3,8,8,BBS7
3,3,3,3,3,3,5,3,3,BBS7
3,10,10,11,6,10,3,10,10,BBS7
5,6,5,5,5,5,8,5,5,BBS9
10,8,10,10,10,10,5,10,10,BBS9
12,2,9,12,12,3,9,9,6,BBX
5,6,5,5,10,8,3,5,5,BCAP29
3,5,10,6,6,5,6,10,5,BCAP29
10,5,6,10,10,10,8,6,11,BCAP29
3,3,1,5,5,5,12,6,6,BCAS2
3,10,3,5,5,5,5,3,3,BCAS2
2,2,2,2,2,2,6,2,2,BCAS4
10,6,6,11,6,10,8,11,11,BCAS4
2,5,2,12,12,2,9,2,2,BCAS4
12,3,12,3,3,3,3,12,2,BCAT1
3,5,12,3,3,3,10,12,2,BCAT2
5,10,5,5,5,10,5,5,5,BCCIP
12,6,2,12,12,3,12,12,2,BCCIP
12,3,12,12,12,3,10,12,2,BCCIP
12,5,3,12,12,3,10,3,3,BCCIP
2,10,2,2,2,2,10,2,2,BCDIN3D
12,3,12,12,12,3,10,12,2,BCKDHA
6,10,8,8,8,8,8,8,8,BCKDHB
8,8,8,8,8,8,8,8,8,BCKDHB
8,8,8,8,8,8,8,8,8,BCKDHB
12,5,3,12,12,3,3,3,3,BCKDK
5,6,5,5,5,5,3,5,5,BCL10
8,8,8,8,8,8,5,6,8,LOC646626
8,8,8,8,8,8,8,8,8,BCL11A
8,8,9,8,8,5,8,9,6,BCL11A
6,10,10,11,10,10,8,10,10,BCL11A
8,8,5,6,8,8,5,5,5,BCL11A
5,6,10,5,5,5,12,11,10,BCL2
3,10,5,3,3,5,12,5,5,BCL2
11,2,12,12,12,2,10,12,3,BCL2A1
12,2,2,2,2,2,6,2,2,BCL2L1
9,3,5,9,3,3,10,5,5,BCL2L11
5,6,3,5,5,5,5,5,5,BCL2L12
5,3,10,10,10,5,3,10,10,BCL2L12
6,6,6,6,6,8,5,6,6,BCL2L13
10,8,6,11,10,10,8,6,6,BCL2L2
12,5,5,10,6,10,12,5,5,BCL3
5,6,5,5,5,5,8,5,5,BCL6
12,6,2,2,12,2,9,12,2,BCL7B
10,10,10,10,10,10,5,10,10,BCL7B
12,2,1,8,8,8,3,9,6,BCL7C
10,5,10,11,6,10,8,5,5,BCL9
3,3,3,12,12,3,6,3,3,BCL9L
6,6,10,11,10,5,3,9,11,BCLAF1
8,8,8,8,8,8,8,8,8,BCLAF1
3,3,1,3,3,5,3,6,11,BCLAF1
5,5,6,5,5,5,3,6,6,BCS1L
8,8,8,8,8,8,8,8,8,BECN1
12,5,12,12,12,3,10,12,2,BEND3
12,5,12,12,3,3,5,12,2,BEND7
12,5,3,10,3,3,2,3,3,BEST1
5,6,10,10,10,10,8,10,10,BET1
2,5,9,5,6,9,5,9,10,BET1L
12,2,8,6,8,9,9,8,8,BFAR
12,3,3,3,3,3,12,3,3,BHLHE40
8,8,8,8,8,8,8,8,8,BICD2
12,2,3,12,12,3,12,3,3,BID
6,6,6,6,6,10,5,11,11,BID
8,8,8,8,8,8,8,8,6,BID
12,5,3,3,3,3,5,3,3,BIN1
6,8,6,6,6,8,8,6,6,BIN1
5,8,5,10,10,10,8,3,5,BIN2
2,5,2,3,10,9,6,2,2,BIN3
8,3,8,10,12,8,10,8,8,BIRC2
12,3,12,12,3,3,5,12,2,BIRC2
5,10,5,5,5,5,3,5,5,BIRC3
5,3,10,10,10,10,8,10,10,BIRC3
6,10,6,11,10,10,10,11,11,BIRC3
3,5,5,5,5,5,12,5,5,BIRC6
12,3,3,12,3,3,10,3,3,BIVM
6,6,6,11,6,10,8,6,6,BIVM
8,8,6,8,8,8,8,10,11,BLCAP
12,3,12,10,10,5,12,2,2,BLM
8,8,6,8,8,8,10,11,6,BLMH
8,8,6,8,8,8,12,11,6,BLOC1S1
10,6,10,11,10,10,8,10,10,BLOC1S2
10,8,6,6,6,8,5,6,6,BLVRA
5,6,10,11,10,10,12,10,10,BLZF1
10,6,6,11,10,10,8,6,6,BLZF1
5,10,3,11,10,10,2,3,3,BMF
12,5,12,3,5,3,10,12,3,BMF
10,10,6,11,10,8,8,11,11,BMP1
3,5,5,5,5,10,5,5,5,BMP2K
5,10,5,6,6,8,5,5,10,BMP2K
6,6,6,10,10,9,6,11,6,BMP2K
2,10,12,3,5,2,3,3,5,BMP4
12,3,6,10,10,5,3,10,10,BMP8B
8,8,5,8,8,8,6,3,3,BMPR1A
5,6,6,10,10,10,8,11,11,BMPR2
5,3,8,10,10,10,10,8,8,BMPR2
5,6,10,5,5,5,5,10,10,BMS1
5,6,5,5,5,5,8,5,5,BMS1P5
3,6,3,12,12,3,10,3,3,BNIP1
5,8,5,3,3,5,5,5,5,BNIP1
5,5,10,11,6,10,10,11,11,BNIP2
5,5,5,5,5,5,8,5,5,BNIP3
3,5,5,3,3,3,3,5,10,BNIP3L
2,10,8,9,12,9,9,8,1,BNIP3L
12,3,3,11,6,5,12,3,5,BOK
3,5,3,3,3,3,10,3,3,BOLA1
6,6,5,11,10,8,8,5,5,BOLA3
8,8,8,8,8,8,5,8,8,BOLA3
12,10,12,12,12,3,5,12,2,BRD7P3
10,8,10,11,6,10,10,11,10,BPGM
5,10,10,5,5,5,6,10,10,BPGM
10,6,10,11,6,10,12,10,10,BPHL
12,3,12,12,12,2,2,12,2,BPI
3,3,10,10,10,5,10,10,10,BPTF
12,3,9,3,3,3,3,5,5,BRCA1
5,3,9,12,12,2,3,9,10,BRD1
6,10,6,5,10,10,8,6,6,BRD2
8,8,8,8,8,8,8,8,8,BRD3
10,8,6,10,10,10,8,11,10,BRD7
3,5,12,8,8,8,8,3,3,BRD7
12,3,12,12,12,3,2,12,2,BRD7
5,10,10,10,10,10,8,10,10,BRD8
10,10,5,11,10,10,12,5,10,BRD8
3,10,5,3,3,5,3,5,5,BRD9
12,2,2,12,2,2,2,2,2,BRE
12,5,12,12,12,2,12,12,3,BRE
10,8,10,11,10,10,8,10,10,BRE
2,2,2,2,2,2,2,2,2,BRF2
12,5,12,12,12,3,3,12,2,BRI3
8,8,6,10,6,3,5,10,11,BRI3BP
12,2,3,12,12,2,6,3,3,BRIP1
3,5,10,10,10,5,10,10,10,BRIX1
6,8,8,6,6,8,8,8,8,BRIX1
5,10,5,10,10,10,12,5,5,BRMS1
6,8,6,8,8,8,8,6,6,BRMS1
3,10,3,3,3,5,3,3,3,BRMS1L
8,8,8,8,8,8,8,11,6,BRMS1L
3,10,10,3,3,3,10,10,10,MPC2
8,8,8,8,8,8,8,8,8,MPC1
9,5,5,9,10,5,8,9,11,MPC1
5,5,10,3,3,5,10,10,10,BRPF1
6,8,8,11,6,10,8,6,8,BRPF1
3,5,3,5,3,3,5,3,3,BRPF3
3,5,3,3,3,3,12,3,3,BRSK1
3,5,5,3,3,5,5,5,5,BRWD1
10,10,10,11,6,10,5,10,10,BRWD1
10,6,10,11,10,10,8,10,10,WDR11
5,8,3,3,3,3,8,12,3,BSDC1
6,10,6,11,6,10,8,6,11,BSG
3,5,5,3,3,5,10,3,3,BST1
12,10,12,12,12,3,5,12,3,BST2
6,5,10,5,5,10,5,10,11,BTAF1
12,5,12,12,12,3,10,12,3,BTBD1
8,8,3,8,8,8,8,3,3,BTBD1
5,6,5,10,10,10,8,5,5,BTBD10
12,5,12,12,12,3,3,12,2,BTBD11
3,6,3,3,3,5,3,3,3,SLX4
12,3,3,3,3,3,10,3,3,ZBTB44
5,6,5,3,3,5,8,5,5,BTBD2
5,6,5,5,3,5,3,5,5,BTBD3
5,5,5,5,5,5,3,5,5,BTBD3
10,8,6,10,10,10,8,11,11,BTBD6
2,2,12,2,2,2,12,12,3,BTBD7
9,2,3,9,3,3,9,3,5,BTBD7
10,6,10,10,10,10,8,10,10,BTD
6,8,6,11,6,10,8,6,6,BTF3
10,5,6,10,10,10,8,11,11,BTF3
10,9,10,10,5,10,8,5,5,BTF3
12,3,12,12,12,3,9,12,2,BTF3P11
5,5,10,10,10,10,10,10,10,BTF3L4
10,6,8,11,6,8,10,6,6,BTF3L4
12,2,3,12,12,3,5,3,3,BTG1
5,5,6,5,5,5,5,6,6,BTG2
12,3,3,12,3,3,3,10,11,BTG3
5,5,6,5,5,5,3,6,6,BTG3
3,5,3,3,3,3,5,3,3,BTN2A1
9,3,10,9,5,3,5,10,11,BTN2A2
3,10,8,11,6,10,3,6,6,BTN3A1
10,6,10,3,3,10,3,10,10,BTN3A3
6,6,8,6,6,10,8,8,8,BUB3
6,8,5,10,5,10,10,5,5,BUB3
3,2,1,3,5,5,3,6,1,BUB3
3,5,3,3,3,3,3,5,5,BUB3
3,10,12,5,5,5,6,3,3,BUD13
5,10,5,3,3,3,5,5,5,BUD31
10,10,10,10,10,10,8,10,10,BYSL
10,8,5,3,3,10,5,10,10,BZW1
6,8,6,11,6,10,8,6,6,BZW1
8,8,8,8,8,8,8,8,8,BZW1
